id,quizId,classId,deadline,status,createdAt,maxAttempts,studentId
a-1f180f66,quiz-1771815844175,c-e725273d,2026-02-25T16:59:00.000Z,CLOSED,2026-02-23T03:24:59.870Z,1,
a-b35f5ed1,quiz-1771225368087,c-e725273d,2026-03-04T09:59:00.000Z,OPEN,2026-02-25T01:27:29.140Z,5,s-e767c0fe
a-5791f41f,quiz-1771225368087,c-e725273d,2026-03-04T09:59:00.000Z,OPEN,2026-02-25T01:27:49.170Z,5,s-4b06199e
a-1eeb5f84,quiz-1771988898231,c-e725273d,2026-02-28T16:59:00.000Z,CLOSED,2026-02-26T09:00:49.483Z,1,
a-4109d326,quiz-1772154262735,c-e725273d,2026-03-01T09:59:00.000Z,CLOSED,2026-02-27T03:19:12.299Z,1,
a-f14b5340,quiz-1772207252556,c-e725273d,2026-03-07T09:59:00.000Z,OPEN,2026-02-27T19:09:31.794Z,5,s-e767c0fe
a-d544d800,quiz-1772207252556,c-e725273d,2026-03-07T09:59:00.000Z,OPEN,2026-02-27T19:09:53.187Z,5,s-7ccd4ac5
a-5e0f2e1e,quiz-1772176710142,c-e725273d,2026-03-05T02:59:00.000Z,OPEN,2026-03-02T02:53:00.275Z,1,
a-98cd894c,quiz-1772207252556,c-e725273d,2026-03-09T09:59:00.000Z,OPEN,2026-03-02T03:08:22.596Z,5,s-7ccd4ac5
a-83fa08e6,quiz-1772207252556,c-e725273d,2026-03-09T09:59:00.000Z,OPEN,2026-03-02T03:09:27.103Z,5,s-e767c0fe
